,title,overall_review,pros,cons,since,date,rating
15,Very Fast Drive,"
Overall Review:
            These drives are a little pricey. I bought this one on sale. You definitely get what you pay for tho...Cheers!
        ","
Pros:
                I have installed many SSD drives and performance gain is always impressive. This drive is really impressive! I tested two SSD's on my Macbook. The Samsung drive was noticeably much faster than brand X. I also wish to note that the Brand X drive had errors  using Carbon Copy and the Samsung drive did not.
            ","
Cons:
                None
            ",Ownership: more than 1 year,2/17/2019 5:17:49 AM,5
16,Worth it!,"
Overall Review:
            Bought this to bring my current (at the time) laptop back to life after being fed up a with previous hdd’s failing in it. For an almost 10 year old laptop, It has never ran faster than with this ssd in it. I’ve had the mb not detect it a couple of times but a simple restart fixed the issue. It’s now still running strong after 5 years in a newer laptop running windows 10.
        ","
Pros:
                Fast for the priceLight weight
            ","
Cons:
                Isn’t always detected by motherboard
            ",,2/12/2019 6:53:22 PM,5
17,Bad Product,"
Overall Review:
            I wont buy ever again from them
        ","
Pros:
                none
            ","
Cons:
                I bought a Samsung 850 evo 1TB it said new not used. It had 19.9 Tb written on it already. I want a refund now!
            ",Ownership: 1 day to 1 week,2/4/2019 2:37:47 PM,1
18,"Almost 5 yrs., smooth as grease!","
Overall Review:
            I hope the current version (860 Evo) is even nearly as good.
        ","
Pros:
                No problems with the then-current Samsung Data Migration tool.  Made it through a firmware upgrade, no grief. No apparent degradation of any kind.
            ","
Cons:
                Pricey.
            ",Ownership: more than 1 year,1/26/2019 11:57:17 AM,5
19,Good,"
Overall Review:
            Perfectly valid place to get an SSD
        ","
Pros:
                It works exactly as advertised
            ","
Cons:
                None
            ",Ownership: more than 1 year,1/13/2019 11:41:19 PM,5
20,Great,"
Overall Review:
            Been 2 years still boot super fast never had a problem
        ","
Pros:
                Fast.
            ","
Cons:
                none
            ",Ownership: more than 1 year,1/12/2019 11:21:25 AM,5
21,"Excellent drive, Bas customer service",,"
Pros:
                These drives are fast and the price is great if you get one on sale.
            ","
Cons:
                RMA process if it needs to be returned has been reported as being  very difficult.  Therefore, I would consider paying a little more for the INTEL ssd and avoid that problem  later.  Anyone can sell you any thing , but service after the sale is everything.   SAMSUNG is the fastest , but INTEL is more reliable and does not have the RMA / return issue.  SAMSUNG is the best as long as it does not fail to work. I do have five  SAMSUNG drives ranging from 1 month to 2 years old, and no problems with any one of them yet. I now feel comfortable with their quality and will purchase more of them in the future.
            ",,1/7/2019 8:32:16 AM,4
22,"2 years later, still going strong","
Overall Review:
            there are newer models out now, but if you're looking at this one for some reason, know that I've been entirely happy with it.
        ","
Pros:
                - quick- durable
            ","
Cons:
                - none
            ",Ownership: more than 1 year,1/5/2019 8:28:54 AM,5
23,This SSD Changed My Life!,"
Overall Review:
            Every computer needs an SSD, Even if its just a boot drive. Don't deny yourself the simple pleasure of sub 30 second boot times.Get an SSD today! -lame 80's graphics-
        ","
Pros:
                -25secs to boot up.-Moves files from drive to drive really fast.-Loading regular files is way faster.-Can fit a few games on there that I usually ""save scrub""(Fallout, Skyrim, Dishonored) [games where I load my saves over and over)-Reliable, Havent had an issue in 3+ years.
            ","
Cons:
                -Might one day take over the world.
            ",Ownership: more than 1 year,12/27/2018 11:26:23 PM,5
24,"Excellent Product, Amazing! First SSD and Loving it no regrets! Highly Recommend Samsung over others","
Overall Review:
            If you were planning on getting an SSD don't get anything less than a Samsung 850 EVO.In Rust (Steam game) My load times to load into a server went from 3.18 Minutes/sec on the mentioned HDD above to literally 1 Minute on the 850 EVO.Saved me between 15-23 seconds on BOOT Up as well.Take my word, if you never owned an SSD like me and this is your first time there are 2 things I highly suggest you do and you won't regret.#1 Don't buy the 250GB Version, skip that and don't get anything smaller than the 500GB Version. My first SSD and I LOVE it!! I bought the 250GB Version and when I saw how fast it was I returned it for the 500GB Version 2 days after.#2 Don't buy anything other than a Samsung SSD, they are some of the best SSD's in the market. When compared and comparing Samsung 850 EVO and Other Samsung's SSD to other brands the 850 Supersedes the other SSD brands by at least 12-15% Minimum.I thought SSD's were just HYPE but I was wrong until I tried it, no regrets on my Purchase. Not sponsored just a normal Gamer on a budget. i7 6700K, GTX 970.
        ","
Pros:
                -Super Fast, at least 3 times faster than my WD 2TB 7200RPM Black HDD-Small, and very light, bigger than a credit card by an inch or so.-Easy to set up and install basically *Plug and Play, very simple.
            ","
Cons:
                No Cons at all. Highly Recommend the Samsung 850 EVO over any other brand SSD
            ",,12/16/2018 12:36:11 PM,5
25,"This is the only model I buy, this and the 860.","
Overall Review:
            I use these in my laptops, side PC's and main PC. Obviously opt for the 860 or the 970 NVME drives rather than the 850. But if you do it for the cost. The 850 is still a great thing.
        ","
Pros:
                Samsung drives are fantastic. Using them for years without issue. Very fast for the price.
            ","
Cons:
                None that I know of.
            ",Ownership: 1 month to 1 year,11/30/2018 11:22:59 AM,5
26,Amazing! if you never owned an SSD Before like me you are missing out! Just AMAZING!!,"
Overall Review:
            2 Quick and very important rules, you will thank me for it.#1 Don't cheap out and buy anything less than a 500GB SSD #2 Do not buy any other SSD other than the EVO serier 850 and up. Trust me if you look on reviews online the 850 EVO outperforms every other SSD on its category by at least a minimum of 10-12% if not more.My only regret? not buying the 500gb version instead of the 250GB. Bottom line, yes its a bit expensive, but only slightly compared to the boost your computer gets. Compared to my WD Black 2TB 7200RPM HDD this thing is lighting fast. No regrets on my purchase. Can't believe I waited to almost 2019 to believe all the hype. Loving it.
        ","
Pros:
                Love it, when people say its fast its literally super fast. I think I boot into Windows 7 in less than 13 seconds and that's after typing my password and all. Games load way faster now. Significantly faster, instead of waiting 30 seconds for a game to load (any game almost) It loads in less than half the time.
            ","
Cons:
                None! (Read others) Worth the price tag!!
            ",,11/26/2018 6:21:30 PM,5
27,4 years of service,"
Overall Review:
            It's a very slim piece of hardware, I didn't even mount it it just sits on top of my old disk drive.
        ","
Pros:
                Has worked great.
            ","
Cons:
                In the past year or so I have noticed that my boots have slowed down a bit. When I first got it I would have to memorize and spam the boot menu on the bios or find myself at the windows login screen. This was impressive. Now (despite having a timed bios display option) booting up the PC is not instant or as impressive as it used to be.
            ",Ownership: more than 1 year,11/26/2018 2:48:25 PM,5
28,get something else,"
Overall Review:
            SAMSUNG is awful
        ","
Pros:
                faster than a normal drive
            ","
Cons:
                failed after about a year wont boot BSOD,  tests show bad blocks . failing SMART , uncorrectable error count Fail ECC Error rate fail
            ",Ownership: more than 1 year,11/23/2018 10:49:12 PM,1
29,Been using as primary drive for 7 months with no problems,"
Overall Review:
            samsung is proud of their products, and the prices reflect that, it is expensive for 250gb, but it hasn't failed me yet.
        ","
Pros:
                its SOLID, fast,, no problems after 7 months
            ","
Cons:
                setup can be a pain, but thats not samsung or newegg fault, its microsoft, have to go through so many different windows to get a new drive to work,, if doing a clean new install of windows then no problem at all, windows install will see new drive
            ",Ownership: more than 1 year,11/14/2018 9:18:25 AM,5
30,great SSD,"
Overall Review:
            included software is helpful but not really needed. I will probably buy another if it goes on sale again.
        ","
Pros:
                faster than older 840 pro I had been running.
            ","
Cons:
                had trouble getting my system to see it initially, had to play musical chairs with 3 other SATA devices. Might be my board, but that is brand new and it saw other devices in the slots I had them.*edit*totally was my board apparently the sata 0_3 and 0_5 are disabled if you use the M.2 port... I switched stuff around and it worked fine.
            ",Ownership: 1 month to 1 year,11/7/2018 6:44:22 AM,5
31,Plug and Go!,"
Overall Review:
            I would recommend
        ","
Pros:
                Great product and with SSD everything is fast!
            ","
Cons:
                Only con is I didn't buy a big enough one!
            ",Ownership: 1 month to 1 year,11/4/2018 10:41:04 AM,5
32,Works as Advertised,"
Overall Review:
            Been 1 year know, just casually looking back on past purchases and giving reviews now.
        ","
Pros:
                Works as advertised
            ","
Cons:
                None
            ",Ownership: more than 1 year,10/21/2018 2:57:55 PM,5
33,IT DIED,"
Overall Review:
            I'll research and buy another brand.. not this one for sure..
        ","
Pros:
                Good speed
            ","
Cons:
                I had it for less than 2 years. Yesterday I went to turn the laptop on and after the bios flashes on screen I just get a blank screen. After a few minutes the laptop says that there is no hard drive detected. I tried this several times before I put the hard drive in my wife's laptop and got the same message. All of my photos and work related files were on there without being backed up since ""ssd's are so reliable"", never again.
            ",Ownership: more than 1 year,10/10/2018 6:43:27 AM,2
34,Excellent Vendor - Terrible USPS,"
Overall Review:
            I would highly recommend this vendor.
        ","
Pros:
                - Vendor stayed in constant communication and sent me the order for free after it was misplaced by USPS.
            ","
Cons:
                - Time to ship (was not the vendor's fault though)
            ",Ownership: 1 week to 1 month,10/8/2018 11:40:53 AM,5
35,If I can give it zero rating I would.,"
Overall Review:
            not at all.
        ","
Pros:
                What SSDs should be like, fast
            ","
Cons:
                died in less than a year.
            ",Ownership: 1 month to 1 year,10/2/2018 10:59:22 AM,1
36,Works great and reliable,"
Overall Review:
            I would recommend going for the 850 Pro and that's only for the warranty. The Evo has a 5 year warranty and the Pro has a 10 year warranty for around $25.00 more. You can't even replace the drive that cheap plus if they warranty it that long they must feel it will make it. Best warranty I've been able to find so far.
        ","
Pros:
                Put it to work with a clean install of Windows 7 Pro right out of the box without a single hiccup.Noticed a significant increase in system speeds and a decrease in boot times.Highly recommended.
            ","
Cons:
                None so far.
            ",Ownership: 1 month to 1 year,9/29/2018 6:08:10 AM,5
37,Good product.,,"
Pros:
                Upgraded an older PC to run as dedicated game server. Reduced the start time on Ark server by more than 50%.Running great for over 6 months so far
            ","
Cons:
                none
            ",Ownership: 1 month to 1 year,9/25/2018 12:35:26 PM,5
38,Worth the money if...,"
Overall Review:
            I've been very happy with the ones I put in my computer and the ones I use for backups. While HDDs are far more cost effective, their weight and size were creating problems for my old carcass. Not having to lug around and find room for a bunch of backup HDDs made the cost worthwhile for me (never mind that I'll be eating mustard sandwiches--without the bread--for a long time). Not everyone will be able to justify that expense. The increased speed when moving large amounts of data was a happy bonus for me.However, Samsung has since replaced the 850 series with the 860s. I recommend them over the 850s for lower price rather than buying new 850s. There would be no benefit to replacing perfectly good 850s with 860s, though.
        ","
Pros:
                Small size, light weight, no moving parts to wear out or break, impact resistant, low power consumption, generates little heat, large capacity, and greater speed.
            ","
Cons:
                Cost.
            ",Ownership: more than 1 year,9/22/2018 12:15:29 AM,5
39,Two years in still perfect,,"
Pros:
                - Still as good as the as the day i got it, according to Samsung Magician read/write speed didn't fall of much or at all.- Its fast
            ","
Cons:
                None that i can think of
            ",Ownership: more than 1 year,9/18/2018 9:31:24 PM,5
40,No issues,"
Overall Review:
            M.2 is the future for desktop builds, but a 2.5in is still great for upgrading older desktops and laptops
        ","
Pros:
                Price when purchased was nice. 1GB for 50 cents.This was before SSDs got more expensive.My SSD works fine
            ","
Cons:
                None.
            ",Ownership: more than 1 year,9/18/2018 9:19:56 PM,5
41,"beware, you may be getting EU version!",,"
Pros:
                fast, reliable, etc.
            ","
Cons:
                if, like you receive the EU version (MZ-75E1T0B/EU), you can't register for Samsung's warranty!
            ",Ownership: 1 day to 1 week,9/16/2018 2:10:03 PM,3
42,,,"
Pros:
                Excellent product, super excellent service/delivery Thank you very much!
            ","
Cons:
                No cons!
            ",Ownership: 1 week to 1 month,9/11/2018 2:07:03 PM,5
43,"if you want a good SSD from a reputable brand thats still affordable, this is it -",,"
Pros:
                -great performance-great price-enough room for your OS plus 1 or 2 game depending on size
            ","
Cons:
                - be aware Windows 10 takes a decent amount of storage so your OS + all your program files will use a majority of the storage
            ",,9/3/2018 12:01:04 AM,5
44,Wow,"
Overall Review:
            would buy again once price goes LOWERRRBought at $129.99 USD on 11/23/2016
        ","
Pros:
                fast for sata
            ","
Cons:
                sata not m.2
            ",Ownership: more than 1 year,8/9/2018 12:37:09 AM,5
45,Running for months without issues,,"
Pros:
                Bought 2 and both are doing great after 6+ months of regular usage
            ","
Cons:
                - The egg should not require cons - extra typing
            ",Ownership: 1 month to 1 year,7/25/2018 8:20:00 AM,5
46,"I'm new to SSDs, but what an improvement in performance!","
Overall Review:
            I can endorse this product due to it’s amazing speed and reasonable cost.
        ","
Pros:
                • Relatively (at the time) cost-effective; surely now three years later they are about $100 cheaper• Bootup times in my MacPro 3,1 tower less than 10 seconds!
            ","
Cons:
                • Too light weight - they need to put lead weights in these or something
            ",Ownership: more than 1 year,7/18/2018 5:45:30 PM,5
47,Samsung SDD's are an easy call,,"
Pros:
                Extremely fast and their software for copying your old drive over to the Evo is as simple as point and click.  I have used other SSD's, but these have to be my favorite hands down
            ","
Cons:
                none
            ",Ownership: 1 month to 1 year,7/8/2018 2:28:04 PM,5
48,met expectations,,"
Pros:
                Great OS drive
            ","
Cons:
                None
            ",Ownership: more than 1 year,7/1/2018 6:44:43 PM,5
49,Nice and quick SSD,"
Overall Review:
            Samsung EVO line over the years has improved where its almost not necessary to even consider the Pro line unless your doing something extremely intensive.  Save the few bucks and get the EVO's!
        ","
Pros:
                Nice and quick SSD, one of the best on the market can't complain.
            ","
Cons:
                None
            ",Ownership: more than 1 year,6/27/2018 8:08:42 AM,5
50,Great SSD - Made a new Laptop Fast!,"
Overall Review:
            I used the Samsung software to test the old hard drive performance against the new SSD - It was shocking how much faster it is.
        ","
Pros:
                I got a new laptop with a 5400RPM spinning drive - very slow, disappointing performance. I used the Samsung migration software to migrate the 10% filled 1TB drive to a smaller Samsung SSD (it allowed a smaller target drive) using a StarTech USB to SATA cable - it was very easy. I then opened up the laptop, installed the new drive and I now have a laptop with the fast performance that it should have had from the factory - very satisfied.
            ","
Cons:
                None
            ",Ownership: 1 month to 1 year,6/22/2018 8:56:24 AM,5
51,"Works good, would have given five stars but price.",,"
Pros:
                Faster than any mechanical drive.
            ","
Cons:
                It costs alot more than the Crucial MX500 and has same performance. Buy Crucial MX500 if price is important. If not buy this because the software for cloning drive is simple and quick.
            ",Ownership: 1 month to 1 year,6/9/2018 6:52:48 AM,4
52,Reliable SSD,,"
Pros:
                - 9 mos later still running smoothly. - Included migration software was a breeze to use. - Samsung Magician software is a informative.
            ","
Cons:
                -None
            ",Ownership: 1 month to 1 year,5/28/2018 11:12:46 AM,5
53,"Great product, works great, computer boots up fast, cheap, nothing else to say!",,"
Pros:
                Everything worked perfect, easy to set up, definitely on par with the more expensive SSDs!
            ","
Cons:
                Nothing really.
            ",,5/8/2018 3:41:18 PM,5
54,D.o.a.,,"
Pros:
                great if they work
            ","
Cons:
                D.o.a.    finally got all parts together to use it and nothing, tried a store bought one and it works.
            ",Ownership: 1 month to 1 year,5/8/2018 6:54:11 AM,1
55,Great SSD - Made a new Laptop Fast!,"
Overall Review:
            I used the Samsung software to test the old hard drive performance against the new SSD - It was shocking how much faster it is.
        ","
Pros:
                I got a new laptop with a 5400RPM spinning drive - very slow, disappointing performance. I used the Samsung migration software to migrate the 10% filled 1TB drive to a smaller (500GB) Samsung SSD (it allowed a smaller target drive) using a StarTech USB to SATA cable - it was very easy. I then opened up the laptop, installed the new drive and I now have a laptop with the fast performance that it should have had from the factory - very satisfied.
            ","
Cons:
                None
            ",Ownership: 1 month to 1 year,5/1/2018 3:11:26 AM,5
56,Great SSD,"
Overall Review:
            I recommend Samsung SSDs.I installs Samsung SSDs in my machines.I would install a Samsung SSD in any machine I build for someone.I would not hesitate to purchase this drive again.
        ","
Pros:
                Installed and loaded it up without issue.  I expect to continue with a steady stream of Samsung SSDs.  Going back to the 470, 840, 750, etc. Samsung has never disappointed. 3 Year warranty.
            ","
Cons:
                No complaints about the SSD.
            ",Ownership: more than 1 year,4/30/2018 1:32:07 PM,5
57,Died on me after a year,"
Overall Review:
            RIP. Sticking to Crucial from now on.
        ","
Pros:
                - Fast
            ","
Cons:
                - It died on me and I can't format it anymore
            ",Ownership: 1 month to 1 year,4/28/2018 7:58:02 AM,1
58,Great SSD,"
Overall Review:
            Installed it in my computer, my wife's and my parents. No issues on all computers, Intel and AMD, old and new.
        ","
Pros:
                Fast, reliable
            ","
Cons:
                None
            ",Ownership: more than 1 year,4/27/2018 6:09:10 PM,5
59,Good Price/Benef.,,"
Pros:
                - Great Performance for the price;- Good storage capacity;- Easy setup
            ","
Cons:
                - New version already launched.
            ",Ownership: 1 month to 1 year,4/20/2018 7:46:13 AM,5
60,"Very Fast, Reliable","
Overall Review:
            I would buy this product again.
        ","
Pros:
                Very Fast. Revived old laptop, which now boots in 3 seconds. Still going strong 1 year later.
            ","
Cons:
                None
            ",Ownership: 1 month to 1 year,4/20/2018 7:18:02 AM,5
61,Failure after less than two years,"
Overall Review:
            Would not recommend
        ","
Pros:
                - Fast- Good price
            ","
Cons:
                - One failed after less than two years - The other is lossy and probably on its way out
            ",,4/17/2018 7:12:33 PM,1
62,Super fast,,"
Pros:
                Flawless set up and
            ","
Cons:
                Didn't align to the mounts in the motherboard, but since its so light, I made it work
            ",Ownership: 1 month to 1 year,4/14/2018 6:14:45 PM,5
63,Awesome,"
Overall Review:
            This is the second I bought
        ","
Pros:
                Very fastCheap
            ","
Cons:
                None
            ",Ownership: 1 month to 1 year,4/9/2018 6:51:06 AM,5
64,Six Months In,"
Overall Review:
            3 TB written in six months so if it had a problem it would have surfaced by now. At 10 TB a year I doubt I will burn it out in less than a few decades. By then I will spring for a 1 TB drive
        ","
Pros:
                Not one hiccup since I built the system. All smart data still looks good. Speeds are as expected, and it runs cool in a well ventilated case.
            ","
Cons:
                None really
            ",Ownership: 1 month to 1 year,3/24/2018 7:01:02 PM,5
65,best ssd brand hands down.,"
Overall Review:
            would recommend the 250Gb or 500gb Samsung evo. the smaller sized drives tend to have more longevity.
        ","
Pros:
                over a year of operating system use with a few games installed on it until recently and it is still in perfect working order. recently ordered the 500gb version. Samsung is hands down the best ssd brand on the market with most of their drives lasting years while competitions drives die within months.
            ","
Cons:
                none.
            ",Ownership: more than 1 year,3/22/2018 12:18:08 AM,5
66,Sharing the link for the firmware,"
Overall Review:
            I accidentally deleted the firmware on this while switching from linux to windows, and had a really tough time finding the drivers/firmware for it. I finally found it on samsung's site, but I've got no clue why it does show up under the product page or other tools/downloads pages... can newegg add this link to the specifications page or something?http://www.samsung.com/semiconductor/minisite/ssd/product/consumer/850evo/
        ","
Pros:
                -have had no issues with it
            ","
Cons:
                -for some reason it was really hard to find the drivers for this
            ",Ownership: 1 month to 1 year,3/21/2018 6:40:30 PM,5
67,3 months & crash,"
Overall Review:
            I used this as my C drive for my audio pc in my studio. i installed it mid January and it crashed with blue screen 2 days ago. It's been tested and looks like it's dead and will not show up in the bios or hooked to other pc's.Very disappointed as I did a lot of research and found this to be reviewed as one of the best out there. It was very bad timing as I had a client coming in to record at 7:30 and it crashed at 7:20 and I had to send the guy home.Now when I check in ""my orders"" it's telling me ""Ineligible for return""
        ","
Pros:
                super fast
            ","
Cons:
                didn't last long
            ",Ownership: 1 month to 1 year,3/17/2018 9:45:19 AM,1
68,"Great, until the day it died.","
Overall Review:
            If considering this SSD, I'd recommend sizing up on storage.
        ","
Pros:
                Very fast transfer speed, can hold a few choice games and there's near no load time.
            ","
Cons:
                Up and died - expected possibility with daily use but always disappointing sub-2 years.
            ",Ownership: more than 1 year,3/13/2018 8:30:07 PM,4
69,0 fail,,"
Pros:
                Bought at least 3 of these so far with 0 fail, super fast and will change your whole computer to super fast.
            ","
Cons:
                none
            ",Ownership: more than 1 year,3/13/2018 5:24:25 PM,5
70,easy setup and utilities,"
Overall Review:
            absolutely recomend just bought another and sell small ones to son for gaming computer
        ","
Pros:
                9 months and going strong - two older smaller samsung evo have had no issues yet
            ","
Cons:
                000000000
            ",Ownership: 1 month to 1 year,3/12/2018 5:01:30 PM,5
71,Samsung warranty sucks,,"
Pros:
                great prices and performances
            ","
Cons:
                ssd died after 2 years. Samsung send me to Newegg for warranty.They do not stand behind there products.Last time I buy a Samsung product.
            ",Ownership: more than 1 year,3/12/2018 2:30:11 PM,1
72,Great SSD,,"
Pros:
                Very fast and easy to setup. A must for any new system
            ","
Cons:
                None
            ",Ownership: 1 month to 1 year,3/12/2018 9:27:02 AM,5
73,2+ years and no issues,,"
Pros:
                -SUPER fast compared to all my previous spinning HDD-MUST have in every system
            ","
Cons:
                none
            ",Ownership: more than 1 year,3/7/2018 1:18:22 AM,5
74,HUGE improve from my old hdd,"
Overall Review:
            gonna buy another one for 1tb of storage eventually
        ","
Pros:
                I love this thing, so fast, just get it, if ur comouter takes forever to laid get it, on my old hdd it literally took at least ten minutes to load into rust, with this it takes 1.5 minutes, it's amazing!
            ","
Cons:
                none
            ",Ownership: 1 week to 1 month,3/4/2018 10:09:17 AM,5
75,Nice SSD Drive,"
Overall Review:
            Great SSD drive. No problems, no regerts! lol
        ","
Pros:
                Very nice SSD drive. Works great  in my newly purchased Dell 3050 SFF pc. Purchased with mounting bracket: ICY DOCK Tool-less Dual 2.5 to 3.5 HDD Drive Bay SSD Mount / Kit / Bracket / Adapter - EZ-Fit Lite MB290SP-B. Both worked perfectly!
            ","
Cons:
                No problems at all. Didn't even need to use the install disc.
            ",Ownership: 1 week to 1 month,3/4/2018 5:50:00 AM,5
76,"Easy to set up with AOEMI partition assistant - I just move the OS partition to the SSD. Software included may also work, I just never use it.","
Overall Review:
            Have installed all brands. All have worked well, except one of over100 that failed to install OS partition. The SSD was replaced by the Manufacturer (Samsung). The pro version has a higher rating, but is much more expensive
        ","
Pros:
                Doubles or tripples the speed of the computer
            ","
Cons:
                Some form of mount plate is needed for desktops, but fits right in most laptops
            ",Ownership: more than 1 year,3/2/2018 4:21:16 PM,5
77,perfect SSD for me,"
Overall Review:
            if you dont want to worry about SSD space and have lot of money  this is the ssd you want to choose
        ","
Pros:
                very fast  im sure it could be faster if it wasnt for the fact sata bottleneck it
            ","
Cons:
                nothing so far will update if anything happend
            ",Ownership: 1 month to 1 year,2/28/2018 5:30:44 PM,5
78,Bad performance,,"
Pros:
                1TB
            ","
Cons:
                This must be the ""Retro"" edition, 2 minutes 56 seconds to boot to logon.  I had a virtual PC on my old drive boot faster than that.
            ",Ownership: 1 month to 1 year,2/27/2018 8:53:01 PM,1
79,,,"
Pros:
                worked great, until it didn't
            ","
Cons:
                had periodic bluescreens in windows 10, then eventually (at roughly 1yr of ownership) wouldn't boot into w10. attempted data recovery, failed. attempted windows reinstall, worked for about a week before dying again. unable to reinstall. unable to see drive when connected via sata-to-usb adapter (to a different computer).
            ",Ownership: more than 1 year,2/25/2018 2:16:20 PM,1
